Wavelength,Intensity
380,5.00E+01
381,5.13E+01
382,5.21E+01
383,5.24E+01
384,5.24E+01
385,5.23E+01
386,5.22E+01
387,5.22E+01
388,5.25E+01
389,5.33E+01
390,5.46E+01
391,5.66E+01
392,5.91E+01
393,6.21E+01
394,6.53E+01
395,6.87E+01
396,7.21E+01
397,7.53E+01
398,7.82E+01
399,8.08E+01
400,8.28E+01
401,8.42E+01
402,8.52E+01
403,8.59E+01
404,8.65E+01
405,8.71E+01
406,8.79E+01
407,8.89E+01
408,8.99E+01
409,9.08E+01
410,9.15E+01
411,9.20E+01
412,9.22E+01
413,9.23E+01
414,9.24E+01
415,9.25E+01
416,9.27E+01
417,9.30E+01
418,9.33E+01
419,9.34E+01
420,9.34E+01
421,9.32E+01
422,9.27E+01
423,9.20E+01
424,9.11E+01
425,9.01E+01
426,8.89E+01
427,8.78E+01
428,8.69E+01
429,8.65E+01
430,8.67E+01
431,8.77E+01
432,8.92E+01
433,9.13E+01
434,9.35E+01
435,9.58E+01
436,9.80E+01
437,1.00E+02
438,1.02E+02
439,1.03E+02
440,1.05E+02
441,1.06E+02
442,1.07E+02
443,1.09E+02
444,1.10E+02
445,1.11E+02
446,1.12E+02
447,1.14E+02
448,1.15E+02
449,1.16E+02
450,1.17E+02
451,1.17E+02
452,1.18E+02
453,1.18E+02
454,1.17E+02
455,1.17E+02
456,1.17E+02
457,1.18E+02
458,1.18E+02
459,1.18E+02
460,1.18E+02
461,1.18E+02
462,1.17E+02
463,1.17E+02
464,1.17E+02
465,1.16E+02
466,1.16E+02
467,1.16E+02
468,1.15E+02
469,1.15E+02
470,1.15E+02
471,1.15E+02
472,1.15E+02
473,1.15E+02
474,1.15E+02
475,1.15E+02
476,1.16E+02
477,1.16E+02
478,1.16E+02
479,1.16E+02
480,1.16E+02
481,1.16E+02
482,1.15E+02
483,1.14E+02
484,1.13E+02
485,1.12E+02
486,1.11E+02
487,1.11E+02
488,1.10E+02
489,1.09E+02
490,1.09E+02
491,1.09E+02
492,1.09E+02
493,1.09E+02
494,1.09E+02
495,1.09E+02
496,1.09E+02
497,1.09E+02
498,1.09E+02
499,1.09E+02
500,1.09E+02
501,1.09E+02
502,1.09E+02
503,1.09E+02
504,1.09E+02
505,1.09E+02
506,1.08E+02
507,1.08E+02
508,1.08E+02
509,1.08E+02
510,1.08E+02
511,1.08E+02
512,1.07E+02
513,1.07E+02
514,1.07E+02
515,1.06E+02
516,1.06E+02
517,1.06E+02
518,1.05E+02
519,1.05E+02
520,1.05E+02
521,1.05E+02
522,1.05E+02
523,1.05E+02
524,1.06E+02
525,1.06E+02
526,1.07E+02
527,1.07E+02
528,1.07E+02
529,1.08E+02
530,1.08E+02
531,1.08E+02
532,1.07E+02
533,1.07E+02
534,1.06E+02
535,1.06E+02
536,1.06E+02
537,1.05E+02
538,1.05E+02
539,1.05E+02
540,1.04E+02
541,1.04E+02
542,1.04E+02
543,1.04E+02
544,1.04E+02
545,1.04E+02
546,1.04E+02
547,1.04E+02
548,1.04E+02
549,1.04E+02
550,1.04E+02
551,1.04E+02
552,1.03E+02
553,1.03E+02
554,1.02E+02
555,1.02E+02
556,1.02E+02
557,1.01E+02
558,1.01E+02
559,1.00E+02
560,1.00E+02
561,9.97E+01
562,9.93E+01
563,9.90E+01
564,9.86E+01
565,9.82E+01
566,9.78E+01
567,9.73E+01
568,9.69E+01
569,9.66E+01
570,9.63E+01
571,9.61E+01
572,9.60E+01
573,9.60E+01
574,9.60E+01
575,9.61E+01
576,9.62E+01
577,9.62E+01
578,9.62E+01
579,9.61E+01
580,9.58E+01
581,9.53E+01
582,9.47E+01
583,9.39E+01
584,9.31E+01
585,9.22E+01
586,9.13E+01
587,9.05E+01
588,8.97E+01
589,8.91E+01
590,8.87E+01
591,8.85E+01
592,8.86E+01
593,8.88E+01
594,8.90E+01
595,8.93E+01
596,8.95E+01
597,8.97E+01
598,8.99E+01
599,9.00E+01
600,9.00E+01
601,9.00E+01
602,9.00E+01
603,8.99E+01
604,8.98E+01
605,8.98E+01
606,8.98E+01
607,8.98E+01
608,8.97E+01
609,8.97E+01
610,8.96E+01
611,8.94E+01
612,8.92E+01
613,8.90E+01
614,8.88E+01
615,8.86E+01
616,8.84E+01
617,8.83E+01
618,8.81E+01
619,8.79E+01
620,8.77E+01
621,8.74E+01
622,8.70E+01
623,8.65E+01
624,8.60E+01
625,8.55E+01
626,8.50E+01
627,8.44E+01
628,8.40E+01
629,8.36E+01
630,8.33E+01
631,8.32E+01
632,8.32E+01
633,8.32E+01
634,8.34E+01
635,8.35E+01
636,8.36E+01
637,8.38E+01
638,8.38E+01
639,8.38E+01
640,8.37E+01
641,8.35E+01
642,8.32E+01
643,8.28E+01
644,8.24E+01
645,8.19E+01
646,8.14E+01
647,8.10E+01
648,8.06E+01
649,8.02E+01
650,8.00E+01
651,7.99E+01
652,7.99E+01
653,7.99E+01
654,8.00E+01
655,8.01E+01
656,8.01E+01
657,8.01E+01
658,8.01E+01
659,8.02E+01
660,8.02E+01
661,8.03E+01
662,8.04E+01
663,8.06E+01
664,8.09E+01
665,8.12E+01
666,8.15E+01
667,8.19E+01
668,8.21E+01
669,8.23E+01
670,8.23E+01
671,8.21E+01
672,8.17E+01
673,8.13E+01
674,8.08E+01
675,8.03E+01
676,7.99E+01
677,7.96E+01
678,7.92E+01
679,7.88E+01
680,7.83E+01
681,7.77E+01
682,7.69E+01
683,7.60E+01
684,7.50E+01
685,7.40E+01
686,7.29E+01
687,7.19E+01
688,7.09E+01
689,7.02E+01
690,6.97E+01
691,6.96E+01
692,6.97E+01
693,7.00E+01
694,7.03E+01
695,7.07E+01
696,7.10E+01
697,7.12E+01
698,7.13E+01
699,7.15E+01
700,7.16E+01
701,7.18E+01
702,7.20E+01
703,7.22E+01
704,7.26E+01
705,7.30E+01
706,7.35E+01
707,7.40E+01
708,7.44E+01
709,7.45E+01
710,7.43E+01
711,7.36E+01
712,7.26E+01
713,7.13E+01
714,6.97E+01
715,6.80E+01
716,6.62E+01
717,6.46E+01
718,6.32E+01
719,6.21E+01
720,6.16E+01
721,6.17E+01
722,6.23E+01
723,6.33E+01
724,6.45E+01
725,6.57E+01
726,6.68E+01
727,6.77E+01
728,6.86E+01
729,6.93E+01
730,6.99E+01
731,7.04E+01
732,7.09E+01
733,7.13E+01
734,7.19E+01
735,7.25E+01
736,7.33E+01
737,7.40E+01
738,7.47E+01
739,7.51E+01
740,7.51E+01
741,7.46E+01
742,7.36E+01
743,7.24E+01
744,7.09E+01
745,6.93E+01
746,6.77E+01
747,6.62E+01
748,6.50E+01
749,6.41E+01
750,6.36E+01
800,0.00E+00
