wl,n,k
250,1.637,3.59E+00
260,1.737,3.99E+00
270,2.03,4.60E+00
280,2.84,5.20E+00
290,4.185,5.31E+00
300,5.049,4.29E+00
310,5.091,3.62E+00
320,5.085,3.28E+00
330,5.135,3.09E+00
340,5.245,2.96E+00
350,5.423,2.91E+00
360,5.914,2.91E+00
370,6.82,2.14E+00
380,6.587,9.84E-01
390,6.025,5.03E-01
400,5.623,3.26E-01
410,5.341,2.41E-01
420,5.11,1.77E-01
430,4.932,1.38E-01
440,4.79,1.12E-01
450,4.673,9.54E-02
460,4.572,7.91E-02
470,4.485,7.02E-02
480,4.412,5.98E-02
490,4.349,5.38E-02
500,4.289,4.85E-02
510,4.235,4.38E-02
520,4.187,3.95E-02
530,4.145,3.48E-02
540,4.103,2.99E-02
550,4.073,2.80E-02
560,4.038,2.66E-02
570,4.006,2.37E-02
580,3.977,2.19E-02
590,3.954,2.01E-02
600,3.931,1.85E-02
610,3.908,1.73E-02
620,3.888,1.68E-02
630,3.869,1.63E-02
640,3.851,1.47E-02
650,3.835,1.44E-02
660,3.817,1.36E-02
670,3.805,1.28E-02
680,3.791,1.20E-02
690,3.776,1.13E-02
700,3.765,1.06E-02
710,3.753,9.96E-03
720,3.741,9.33E-03
730,3.73,8.73E-03
740,3.719,8.16E-03
750,3.712,7.62E-03
760,3.701,7.09E-03
770,3.693,6.61E-03
780,3.684,6.13E-03
790,3.677,5.69E-03
800,3.669,5.27E-03
810,3.662,4.86E-03
820,3.655,4.48E-03
830,3.646,4.12E-03
840,3.641,3.78E-03
850,3.636,3.46E-03
860,3.628,3.16E-03
870,3.622,2.87E-03
880,3.617,2.60E-03
890,3.613,2.35E-03
900,3.61,2.11E-03
910,3.604,1.89E-03
920,3.598,1.68E-03
930,3.597,1.48E-03
940,3.59,1.31E-03
950,3.584,1.14E-03
960,3.584,9.82E-04
970,3.578,8.41E-04
980,3.582,7.13E-04
990,3.579,5.96E-04
1000,3.575,4.90E-04
1010,3.572,3.96E-04
1020,3.568,3.14E-04
1030,3.565,2.40E-04
1040,3.562,1.80E-04
1050,3.559,1.30E-04
1060,3.556,9.25E-05
1070,3.553,6.78E-05
1080,3.549,5.22E-05
1090,3.547,3.98E-05
1100,3.545,3.02E-05
1110,3.542,2.29E-05
1120,3.54,1.71E-05
1130,3.537,1.24E-05
1140,3.534,8.62E-06
1150,3.533,5.69E-06
1160,3.53,3.43E-06
1170,3.527,1.77E-06
1180,3.526,5.56E-07
1190,3.524,2.32E-07
1200,3.522,1.39E-07
1210,3.52,8.09E-08
1220,3.518,4.79E-08
1230,3.517,2.71E-08
1240,3.515,1.43E-08
1250,3.513,5.88E-09
1260,3.512,2.34E-09
1270,3.509,1.27E-09
1280,3.509,7.53E-10
1290,3.506,4.48E-10
1300,3.505,2.72E-10
1310,3.503,1.59E-10
1320,3.502,8.72E-11
1330,3.501,4.20E-11
1340,3.5,1.81E-11
1350,3.499,1.04E-11
1360,3.497,6.29E-12
1370,3.496,3.90E-12
1380,3.496,2.64E-12
1390,3.496,1.74E-12
1400,3.493,1.04E-12
1410,3.492,6.04E-13
1420,3.492,4.29E-13
1430,3.49,2.04E-13
1440,3.488,1.38E-13
1450,3.487,1.09E-13
