wl,n
260,1.502127244
274.4,1.496041171
288.8,1.491004885
303.2,1.486779815
317.6,1.483193553
332,1.480118411
346.4,1.477457848
360.8,1.475137569
375.2,1.473099519
389.6,1.471297719
404,1.469695315
418.4,1.468262455
432.8,1.466974726
447.2,1.465811987
461.6,1.464757491
476,1.463797214
490.4,1.462919332
504.8,1.462113815
519.2,1.461372106
533.6,1.46068687
548,1.460051781
562.4,1.459461366
576.8,1.458910866
591.2,1.458396124
605.6,1.457913498
620,1.457459788
634.4,1.457032165
648.8,1.456628129
663.2,1.456245457
677.6,1.455882172
692,1.455536505
706.4,1.455206876
720.8,1.454891864
735.2,1.454590191
749.6,1.454300706
764,1.454022368
778.4,1.453754233
792.8,1.453495446
807.2,1.453245229
821.6,1.453002873
836,1.452767732
850.4,1.452539214
864.8,1.452316779
879.2,1.45209993
893.6,1.451888212
908,1.451681204
922.4,1.451478521
936.8,1.451279807
951.2,1.451084733
965.6,1.450892994
980,1.450704308
994.4,1.450518414
1009,1.45033254
1023,1.450156549
1038,1.449970202
1052,1.449798156
1066,1.449627752
1081,1.44944682
1095,1.44927933
1110,1.449101195
1124,1.448936032
1138,1.448771804
1153,1.448596756
1167,1.448434115
1182,1.448260533
1196,1.448099053
1210,1.447937996
1225,1.447765811
1239,1.447605373
1254,1.447433675
1268,1.447273539
1282,1.447113445
1297,1.446941893
1311,1.446781695
1326,1.446609899
1340,1.446449356
1354,1.446288568
1369,1.446115971
1383,1.445954528
1398,1.445781127
1412,1.445618844
1426,1.445456096
1441,1.445281163
1455,1.445117332
1470,1.444941161
1484,1.444776104
1498,1.444610407
1513,1.444432131
1527,1.444265016
1542,1.444085158
1556,1.44391651
1570,1.443747083
1585,1.443564663
1599,1.443393548
1614,1.443209269
1628,1.443036373
1642,1.442862586
1657,1.442675375
1671,1.442499681
1686,1.442310384
1700,1.442132705
